Name,District
Doom Guy,Me
Sans Undertale,Me
Jamaica,Me
Bidoof,Me
Jesus Christ,Me
Jonesy from Fortnite,Me
Minecraft,Me
BotW Guardian,Me
Bruno,Me
John Applebees,Me
"Gandalf the Grey and Gandalf the White
And Monty Python and the Holy Grail's black knight
And Benito Mussolini, and the Blue Meanie
And Cowboy Curtis, and Jambi The Genie
Robocop, The Terminator, Captain Kirk, and Darth Vader
Lo-pan, Superman, every single Power Ranger
Bill S. Preston and Theodore Logan
Spock, The Rock, Doc Ock, and Hulk Hogan",Aiden
Ohm,Aiden
Glurm,Aiden
Anthony (Chrysalis),Aiden
Rabbi Bill Clinton,Aiden
Matt,Aiden
Josh,Aiden
Eli,Aiden
Sean,Aiden
Bar Graph Method,Aiden
Richard Gosnell,Josh
Blair Richard Tuttle,Josh
Hemphill,Josh
John Physics,Josh
Penn State Behrend,Josh
Cryo Load,Josh
Thom Yorke,Josh
Rivers Cuomo,Josh
Daniel Dobbins,Josh
My Shaft,Josh
Gandulf (Chrysallis),Matt
BT (Landlord),Matt
Stack Overflow,Matt
Windows 10,Matt
Adam (the Bible),Matt
John Darksouls,Matt
Steve (from work),Matt
Chicken Sandwich,Matt
7,Matt
Integration by Parts,Matt
Peely from Fortnite,Jeffrey
Mr. Peabody and Sherman,Jeffrey
Magneto,Jeffrey
Drake (Pedo),Jeffrey
Kirby,Jeffrey
Sheldon Cooper,Jeffrey
Stitch,Jeffrey
Bugs Bunny,Jeffrey
The Terminator,Jeffrey
Atticus Finch,Jeffrey
Sunny,Jordan
Hero,Jordan
Kel,Jordan
Aubrey,Jordan
Basil,Jordan
Mari,Jordan
Something,Jordan
Jason Voorhees,Jordan
Slim Jim,Jordan
Sal Fisher,Jordan
Sailor Moon,Nat
Joyce O'Neal,Nat
Julius Caesar,Nat
Rasputin,Nat
3 raccoons in a trench coat,Nat
Mary Behrend,Nat
Jerry (Tom and Jerry),Nat
Jimmy Carter,Nat
a sprite cranberry,Nat
Old McDonald,Nat
Joseph Robinette Biden Jr.,Nick
Jore Bitedown,Nick
Jacksepticeye,Nick
Lucky the Leprechaun,Nick
Conan O'Brien,Nick
Ted Kazinkyiyeiyi (Unibombmer),Nick
Bomberman from Bomberman 2,Nick
Ms. Pacman,Nick
Steve Harvey,Nick
Google Sheets,Nick
Wojtek the Bear,Lily
The entire population of the french overseas colony of wallis and futuna,Lily
Wallice and Grommit FUSION,Lily
Jimbo (Balatro),Lily
King bob-omb,Lily
Divorced Eggman,Lily
"Quincy, Son of Quincy",Lily
Car-by,Lily
Vladimir Lenin,Lily
Cool looking fish,Lily
All of Africa,Brooke
Ryan Gosling,Brooke
North Korea,Brooke
Moo Deng,Brooke
Philadelphia,Brooke
Newton,Brooke
Mongoose,Brooke
Mooseuliny,Brooke
Diddy,Brooke
Communist china,Brooke
Ganondorf,Ethan
John Elden Ring,Ethan
The Killer Rabbit from Monty Python and the Holy Grail,Ethan
Firefly (H:SR),Ethan
Technoblade,Ethan
Jack Black,Ethan
BT-7274,Ethan
John Terrarian (Terraria),Ethan
Joker Persona5,Ethan
VaatiVidya,Ethan
Walt Disney,Dash
David Michael Geiser,Dash
Beethoven,Dash
H.P Lovecraft,Dash
Nyalrothotep,Dash
Gay Byrne,Dash
Ulysses S. Grant,Dash
Mike Tyson,Dash
Adolf Hitler,Dash
Whelk Goldspin,Dash
