Location,Submitted,Emote
Applebees,Me,Skrunkle Nunk
Room W21,Aiden,Spur Grappler
The US Cheese Cavern,Josh,Stanky Leg
Tuttle's Office,Matt,Yoinky Sploinky
Compton,Jeffrey,Floss like a boss
Purgatory,Jordan,Sleep
Penns Creek Pennsylvania,Nat,Thumbs Up
Family Feud Headquarters,Nick,Plungus Fungus
The Great Cave Offensive,Lily,Skibidi Swing
Steel mill,Brooke,Light switch
Caelid,Ethan,The Jibson
Family Guy Living Room,Dash,Blunt
County Sligo,Diana,Panic Attack
Morioh-Cho,Copeland,Saucin' Myself
Subnautica,Eric,Domain Expansion
